TimeRange,Total Passengers,AvgPassengers,TotalTripDistance,AvgTripDistance,TotalFareAmount,AvgFareAmount,TotalExtraAmount,AvgExtraAmount,TotalMTATax,AvgMTATax,TotalTipAmount,AvgTipAmount,TotalTollsAmount,AvgTollsAmount,TotalTotalAmount,AvgTotalAmount,TotalNoOfTrips,AvgNoOfTrips
0,9242052,1.71,16672779.44,3.09,67479607.72,12.49,2673459.66,0.49,2691364,0.5,8909414.77,1.65,13672,0,83388445.81,15.44,5401294,14798
1,6888849,1.71,12570531.55,3.12,49728246.73,12.35,1994974.42,0.5,2005835,0.5,6438123.7,1.6,12190,0,61388000.05,15.24,4028092,11035
2,5090273,1.71,9450670.12,3.18,36800630.98,12.38,1473051.24,0.5,1479334,0.5,4624876.4,1.56,9154,0,45279190.79,15.23,2973246,8145
3,3702413,1.72,7190099.64,3.34,29163552.57,13.53,1064870.88,0.49,1071061.5,0.5,3243094.12,1.5,11312,0.01,35201675.58,16.33,2155184,5904
4,2619910,1.71,5621331.61,3.66,20879641.36,13.59,751560.67,0.49,761926,0.5,2164712.38,1.41,21401,0.01,25040521.93,16.3,1536468,4209
5,2135540,1.59,4647143.03,3.46,17125119.16,12.77,602471.43,0.45,665775,0.5,1949185.69,1.45,32632,0.02,20777441.22,15.49,1341293,3674
6,4632357,1.55,7996843.24,2.67,32239261.61,10.78,17897.23,0.01,1491025.5,0.5,3930728.13,1.31,32640,0.01,38608732.85,12.91,2991638,8196
7,8097752,1.59,11906100.84,2.33,53697639.28,10.52,3801.77,0,2548872.5,0.5,7014977.99,1.37,27288,0.01,64824517.79,12.69,5106657,13990
8,10081601,1.61,13540812.14,2.17,68203174.61,10.91,2891.44,0,3120449,0.5,9204832.03,1.47,29803,0,82436193.77,13.19,6250581,17124
9,10407068,1.63,13403958.68,2.09,69840925.55,10.91,2879.81,0,3196178,0.5,9121212.29,1.42,25813,0,84107679.59,13.14,6402444,17540
10,10386660,1.65,13279100.43,2.11,68771821.9,10.95,4866.06,0,3135080,0.5,8438012.98,1.34,27583,0,82918134.37,13.2,6280686,17207
11,10891933,1.67,13773628.04,2.11,72593448.69,11.14,3557.42,0,3252447,0.5,8672158.39,1.33,36479,0.01,86516329.79,13.28,6516435,17853
12,11415083,1.68,14277720.26,2.1,75594766.99,11.11,7142.92,0,3394581.5,0.5,9015582.41,1.33,41217,0.01,90185604.06,13.26,6801570,18634
13,11322331,1.68,14455076.42,2.15,76260990.69,11.34,5897.63,0,3355533.5,0.5,8905722.78,1.32,44494,0.01,90590303.65,13.47,6724655,18423
14,11617798,1.69,15061999.7,2.19,78746114.41,11.44,5443.57,0,3434001.5,0.5,9188725.55,1.33,54932,0.01,93520031.8,13.59,6883394,18858
15,11125733,1.7,14348843.3,2.19,75392490.79,11.5,207703.16,0.03,3269425.5,0.5,8698121.08,1.33,53770,0.01,89587921.28,13.67,6554720,17958
16,9682080,1.69,12658854.74,2.21,65071347.91,11.38,3625312.46,0.63,2851337.5,0.5,7829898.37,1.37,36527,0.01,81132793.36,14.19,5716845,15662
17,11595426,1.68,15167661.81,2.2,78290711.98,11.37,4668106.02,0.68,3437172,0.5,9811540.57,1.42,27145,0,98301322.89,14.27,6887925,18871
18,14037168,1.68,18187179.19,2.18,92832052.15,11.1,5882295.11,0.7,4173814,0.5,12223048.33,1.46,21593,0,118193355,14.14,8361632,22908
19,14592282,1.69,19489253.79,2.25,94499741.21,10.92,6087709.05,0.7,4321666.5,0.5,12818950.74,1.48,18857,0,120345262.1,13.9,8657241,23718
20,13748707,1.68,20086732.06,2.46,90868949,11.13,4084034.49,0.5,4073376,0.5,12548853.61,1.54,13832,0,114109370.7,13.98,8161206,22359
21,13772972,1.7,21453885.96,2.65,93217720.68,11.5,4023889.06,0.5,4044775.5,0.5,12951406.25,1.6,16842,0,116686424.6,14.4,8105716,22207
22,13379926,1.71,21950137.27,2.81,93464598.08,11.95,3879494.32,0.5,3901801,0.5,12897161.54,1.65,16545,0,116506335.3,14.9,7821597,21429
23,11715056,1.71,20406121.75,2.98,84994964.7,12.43,3387537.46,0.5,3409834,0.5,11425672.96,1.67,16120,0,105285733.7,15.4,6838487,18735
