date	BrooklynDropOffs	BrooklynPickups	FinancialDropoffs	FinancialPickups	NYUDropoffs	NYUPickups	TSquareDropoffs	TSquarePickups
0	28602	11548	105816	71853	37545	59326	139240	259192
1	19903	7207	81160	43838	27193	53349	97307	177185
2	13952	4412	65005	25747	18948	45087	70596	119332
3	10225	3006	50859	15783	12283	27927	53062	87556
4	6398	2744	30517	14053	6122	14623	37722	74495
5	3921	4417	20995	19636	3239	5828	60361	40901
6	5903	11357	56196	49277	6290	9443	211547	64256
7	10730	17415	123149	90939	15005	16517	279657	121290
8	17942	18725	184585	132719	29268	22715	256036	181380
9	19077	13246	179074	123017	37133	29911	236761	212040
10	17008	9238	149041	112156	37126	27930	207637	227503
11	16566	9290	133190	123702	38342	28399	223874	238807
12	17643	10607	122591	133291	43893	32118	247753	235584
13	18096	10875	118976	131382	42263	31283	283534	225291
14	19200	10225	115776	131365	38873	31359	256713	227622
15	17484	8948	100124	118578	37099	30402	222512	213777
16	15105	7538	78836	100728	35202	25902	199371	197944
17	19845	9814	89307	126928	48411	31869	247708	250656
18	26228	13016	105899	149967	62838	42539	307951	336902
19	31736	13248	114088	151296	69444	48739	334894	365700
20	37211	13110	132367	146995	66369	53497	223576	339558
21	41703	13347	149337	139721	63810	60274	235340	357923
22	42387	14651	151605	123486	58317	59177	228357	373368
23	37590	14473	132290	98207	49812	62231	190176	327800
